"transaction_id","trans_group_en","property_usage_en","procedure_name_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"1-11-2023-32597","Sales","Commercial","Sell","11-10-2023",350,"Al Thanyah Fifth",117.06,1197613.0,10230.77
"1-11-2023-6576","Sales","Commercial","Sell","08-03-2023",465,"Wadi Al Safa 3",2567.78,72000000.0,28039.79
"1-11-2023-41331","Sales","Commercial","Sell","13-12-2023",526,"Business Bay",29.2,450000.0,15410.96
"1-11-2023-22240","Sales","Commercial","Sell","17-07-2023",467,"Wadi Al Safa 5",3048.03,8541000.0,2802.14
"1-11-2023-22801","Sales","Commercial","Sell","18-07-2023",526,"Business Bay",64.72,766304.0,11840.3
"1-11-2023-6452","Sales","Commercial","Sell","07-03-2023",343,"Al Warsan First",159.79,1600000.0,10013.14
"1-11-2023-28740","Sales","Commercial","Sell","11-09-2023",445,"Jabal Ali First",600.0,4450000.0,7416.67
"1-11-2023-24740","Sales","Commercial","Sell","04-08-2023",526,"Business Bay",29.2,505000.0,17294.52
"1-11-2023-26930","Sales","Commercial","Sell","24-08-2023",410,"Palm Jumeirah",61.75,255900.0,4144.13
"1-11-2023-14650","Sales","Commercial","Sell","16-05-2023",526,"Business Bay",130.97,1000000.0,7635.34
"1-11-2023-26470","Sales","Commercial","Sell","22-08-2023",410,"Palm Jumeirah",1033.64,54000000.0,52242.56
"1-11-2023-32371","Sales","Commercial","Sell","10-10-2023",351,"Al Thanyah Third",75.22,2024275.0,26911.39
"1-11-2023-24845","Sales","Commercial","Sell","07-08-2023",352,"Al Thanayah Fourth",622.36,9600000.0,15425.16
"1-11-2023-31778","Sales","Commercial","Sell","04-10-2023",343,"Al Warsan First",47.0,465520.0,9904.68
"1-11-2023-35832","Sales","Commercial","Sell","06-11-2023",526,"Business Bay",24.52,343159.0,13995.07
"1-11-2023-4619","Sales","Commercial","Sell","17-02-2023",350,"Al Thanyah Fifth",129.97,1500000.0,11541.12
"1-11-2023-18333","Sales","Commercial","Sell","12-06-2023",350,"Al Thanyah Fifth",817.58,10400000.0,12720.47
"1-11-2023-24277","Sales","Commercial","Sell","01-08-2023",350,"Al Thanyah Fifth",122.29,1950304.0,15948.19
"1-11-2023-4076","Sales","Commercial","Sell","13-02-2023",444,"Al Hebiah First",307.51,2201150.0,7157.98
"1-11-2023-13713","Sales","Commercial","Sell","09-05-2023",526,"Business Bay",76.98,1016250.0,13201.48
"1-11-2023-4508","Sales","Commercial","Sell","16-02-2023",526,"Business Bay",29.2,340000.0,11643.84
"1-11-2023-30830","Sales","Commercial","Sell","26-09-2023",526,"Business Bay",27.31,540000.0,19772.98
"1-11-2023-1282","Sales","Commercial","Sell","17-01-2023",343,"Al Warsan First",48.0,383990.0,7999.79
"1-11-2023-34409","Sales","Commercial","Sell","25-10-2023",343,"Al Warsan First",54.0,600000.0,11111.11
"1-11-2023-2631","Sales","Commercial","Sell","30-01-2023",352,"Al Thanayah Fourth",1453.75,8500000.0,5846.95
"1-11-2023-2160","Sales","Commercial","Sell","24-01-2023",410,"Palm Jumeirah",63.42,262800.0,4143.8
"1-11-2023-8362","Sales","Commercial","Sell","21-03-2023",443,"Al Thanyah First",80.98,849868.0,10494.79
"1-11-2023-15248","Sales","Commercial","Sell","19-05-2023",485,"Me'Aisem First",45.46,166355.0,3659.38
"1-11-2023-19049","Sales","Commercial","Sell","15-06-2023",485,"Me'Aisem First",55735.87,70946160.0,1272.9
"1-11-2023-20603","Sales","Commercial","Sell","27-06-2023",350,"Al Thanyah Fifth",156.93,1140369.0,7266.74
"1-11-2023-34058","Sales","Commercial","Sell","26-10-2023",330,"Marsa Dubai",119.75,1200000.0,10020.88
"1-11-2023-19425","Sales","Commercial","Sell","20-06-2023",350,"Al Thanyah Fifth",167.36,2000000.0,11950.29
"1-11-2023-36386","Sales","Commercial","Sell","09-11-2023",526,"Business Bay",29.06,425000.0,14624.91
"1-11-2023-542","Sales","Commercial","Sell","05-01-2023",485,"Me'Aisem First",1568.6,14000000.0,8925.16
"1-11-2023-6483","Sales","Commercial","Sell","29-03-2023",526,"Business Bay",181.74,2792387.0,15364.74
"1-11-2023-2818","Sales","Commercial","Sell","01-02-2023",526,"Business Bay",21.39,350000.0,16362.79
"1-11-2023-21469","Sales","Commercial","Sell","10-07-2023",413,"World Islands",51.25,1609793.0,31410.61
"1-11-2023-31040","Sales","Commercial","Sell","28-09-2023",244,"Al Murqabat",1369.11,57200000.0,41778.97
"1-11-2023-23492","Sales","Commercial","Sell","25-07-2023",526,"Business Bay",59.06,700000.0,11852.35
"1-11-2023-34864","Sales","Commercial","Sell","30-10-2023",352,"Al Thanayah Fourth",1827.77,43000000.0,23525.94
"1-11-2023-7088","Sales","Commercial","Sell","14-03-2023",350,"Al Thanyah Fifth",788.55,7953835.0,10086.66
"1-11-2023-31686","Sales","Commercial","Sell","03-10-2023",410,"Palm Jumeirah",62.53,259100.0,4143.61
"1-11-2023-1827","Sales","Commercial","Sell","20-01-2023",350,"Al Thanyah Fifth",36.93,300000.0,8123.48
"1-11-2023-28071","Sales","Commercial","Sell","06-09-2023",350,"Al Thanyah Fifth",988.18,19000000.0,19227.27
"1-11-2023-38485","Sales","Commercial","Sell","27-11-2023",435,"Al Hebiah Fourth",304.56,2901251.0,9526.04
"1-11-2023-28820","Sales","Commercial","Sell","12-09-2023",350,"Al Thanyah Fifth",115.43,1200000.0,10395.91
